uf,cargo,nome_citado,partido_citado,id_tse,slug,nome_urna,status,motivo,natureza,medida,posicao,percentual,instituto,contratante,registro_tse,campo_inicio,campo_fim,entrevistas,margem,confianca,coleta,tipo,fonte,fonte_url,data_acesso
RJ,depest,Gustavo Tutuca,PP,190002541672,,GUSTAVO TUTUCA,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Índia Armelau,PL,190002533418,,ÍNDIA ARMELAU,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Jari Oliveira,PSB,190002537796,,JARI,resolvido,"nome civil da matéria dentro do nome completo registrado; concorre como ""JARI""",registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,João Drummond,PRD,,,,nao_registrado,"citado na pesquisa, mas sem candidatura registrada no RJ (o campo foi em julho, antes do registro)",registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Jorge Felippe Neto,PL,190002533686,,JORGE FELIPPE NETO,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Munir Neto,SOLIDARIEDADE,190002534113,,MUNIR NETO,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Pedro Ricardo,PL,190002533711,,DR. PEDRO RICARDO,resolvido,"nome completo começa pelo citado, partido confere",registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Rafael Nobre,UNIÃO BRASIL,190002541640,,RAFAEL NOBRE,resolvido,"nome de urna único no cargo, partido divergente da matéria",registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Renata Souza,PSOL,190002536120,,RENATA SOUZA,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Renato Machado,PT,190002543307,,RENATO MACHADO,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
