uf,cargo,turno,instituto,contratante,data_ref,data_divulgacao,campo_inicio,campo_fim,amostra,margem_erro,metodologia,registro_tse,cenario,principal,candidato,partido,slug,percentual,fonte,url,revid
RS,senador,1,Futura,,2026-02-10,,2026-02-09,2026-02-10,800,3.5,,,1,1,Paulo Pimenta,PT,rs-sen-pimenta,23.6,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Futura,,2026-02-10,,2026-02-09,2026-02-10,800,3.5,,,1,1,Ubiratan Sanderson,PL,rs-sen-sanderson,9.9,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Futura,,2026-02-10,,2026-02-09,2026-02-10,800,3.5,,,2,0,Manuela d'Ávila,PSOL,rs-sen-manuela-d-avila,29.8,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Futura,,2026-02-10,,2026-02-09,2026-02-10,800,3.5,,,2,0,Juliana Brizola,PDT,,29.7,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Futura,,2026-02-10,,2026-02-09,2026-02-10,800,3.5,,,2,0,Marcel van Hattem,NOVO,rs-sen-marcel-van-hattem,29.5,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Futura,,2026-02-10,,2026-02-09,2026-02-10,800,3.5,,,2,0,Germano Rigotto,MDB,rs-sen-rigotto,27.2,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Futura,,2026-02-10,,2026-02-09,2026-02-10,800,3.5,,,2,0,Paulo Pimenta,PT,rs-sen-pimenta,23.8,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Futura,,2026-02-10,,2026-02-09,2026-02-10,800,3.5,,,2,0,Ubiratan Sanderson,PL,rs-sen-sanderson,10.8,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Real Time Big Data,,2026-03-16,,2026-03-14,2026-03-16,1500,2.0,,,1,1,Manuela d'Ávila,PSOL,rs-sen-manuela-d-avila,18.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Real Time Big Data,,2026-03-16,,2026-03-14,2026-03-16,1500,2.0,,,1,1,Marcel van Hattem,NOVO,rs-sen-marcel-van-hattem,18.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Real Time Big Data,,2026-03-16,,2026-03-14,2026-03-16,1500,2.0,,,1,1,Ubiratan Sanderson,PL,rs-sen-sanderson,17.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Real Time Big Data,,2026-03-16,,2026-03-14,2026-03-16,1500,2.0,,,1,1,Paulo Pimenta,PT,rs-sen-pimenta,13.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Real Time Big Data,,2026-03-16,,2026-03-14,2026-03-16,1500,2.0,,,1,1,Germano Rigotto,MDB,rs-sen-rigotto,12.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Real Time Big Data,,2026-03-16,,2026-03-14,2026-03-16,1500,2.0,,,2,0,Eduardo Leite,PSD,,16.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Real Time Big Data,,2026-03-16,,2026-03-14,2026-03-16,1500,2.0,,,2,0,Manuela d'Ávila,PSOL,rs-sen-manuela-d-avila,16.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
